Architecture,Test Accuracy,Test MAE,Test F1,Sensitivity,FNR
Vision Transformer,0.6482122260668973,0.40369088811995385,0.6586746492905415,0.8587786259541985,0.14122137404580154
ConvNeXt Base,0.643598615916955,0.39215686274509803,0.6573223376023545,0.9083969465648855,0.0916030534351145
EfficientNet-B4 (Ordinal),0.3956170703575548,1.2064590542099192,0.22634971665161185,0.02099236641221374,0.9790076335877863
Ensemble (Top-3),0.6793540945790081,0.3633217993079585,0.6857130231845924,0.8606870229007634,0.13931297709923665
